iter	Passed	Remaining
404	3393	4985
405	3397	4971
406	3413	4973
407	3437	4987
408	3438	4968
409	3439	4949
410	3452	4947
411	3485	4974
412	3501	4976
413	3511	4970
414	3515	4955
415	3591	5042
416	3596	5027
417	3616	5036
418	3630	5034
419	3677	5078
420	3685	5069
421	3692	5057
422	3697	5043
423	3699	5025
424	3703	5010
425	3705	4992
426	3710	4978
427	3713	4963
428	3732	4967
429	3735	4951
430	3739	4936
431	3743	4921
432	3755	4917
433	3756	4899
434	3758	4882
435	3765	4870
436	3767	4854
437	3770	4837
438	3771	4819
439	3773	4802
440	3777	4787
441	3779	4770
442	3780	4753
443	3781	4735
444	3782	4717
445	3783	4700
446	3784	4682
447	3786	4664
448	3787	4647
449	3788	4629
450	3789	4612
451	3790	4595
452	3793	4580
453	3794	4563
454	3796	4547
455	3797	4530
456	3799	4513
457	3938	4661
458	3945	4650
459	3948	4635
460	3950	4618
461	3952	4602
462	3953	4585
463	3961	4576
464	3963	4559
465	4015	4601
466	4033	4602
467	4041	4594
468	4048	4583
469	4054	4572
470	4089	4592
471	4109	4596
472	4115	4584
473	4116	4567
474	4190	4631
475	4202	4626
476	4203	4609
477	4204	4592
478	4211	4580
479	4212	4563
480	4226	4560
481	4245	4562
482	4247	4546
483	4249	4529
484	4250	4513
485	4263	4509
486	4272	4501
487	4284	4495
488	4289	4482
489	4301	4476
490	4302	4460
491	4303	4443
492	4305	4427
493	4306	4411
494	4307	4395
495	4310	4380
496	4312	4365
497	4314	4349
498	4315	4333
499	4317	4317
500	4319	4301
501	4324	4290
502	4325	4274
503	4327	4258
504	4329	4243
505	4330	4228
506	4335	4215
507	4339	4203
508	4341	4188
509	4344	4174
510	4347	4160
511	4350	4146
512	4351	4131
513	4353	4115
514	4354	4100
515	4355	4085
516	4357	4070
517	4360	4057
518	4362	4043
519	4364	4028
520	4371	4019
521	4372	4003
522	4376	3991
523	4398	3995
524	4399	3980
525	4400	3965
526	4419	3966
527	4433	3963
528	4446	3959
529	4453	3949
530	4456	3936
531	4458	3921
532	4478	3923
533	4480	3910
534	4491	3903
535	4513	3907
536	4515	3893
537	4521	3882
538	4526	3871
539	4528	3857
540	4531	3844
541	4534	3831
542	4541	3822
543	4545	3810
544	4551	3799
545	4559	3791
546	4566	3781
547	4569	3769
548	4573	3757
549	4575	3743
550	4577	3730
551	4581	3718
552	4587	3708
553	4591	3696
554	4591	3681
555	4593	3667
556	4594	3654
557	4595	3640
558	4598	3627
559	4599	3614
560	4603	3602
561	4604	3588
562	4605	3575
563	4606	3561
564	4611	3550
565	4613	3537
566	4617	3526
567	4619	3513
568	4624	3502
569	4625	3489
570	4632	3480
571	4633	3466
572	4633	3453
573	4636	3441
574	4639	3428
575	4642	3417
576	4643	3404
577	4644	3391
578	4645	3378
579	4825	3494
580	4928	3554
581	4985	3580
582	5031	3598
583	5087	3624
584	5089	3610
585	5170	3653
586	5233	3682
587	5235	3668
588	5285	3688
589	5486	3812
590	5619	3888
591	5718	3941
592	5800	3980
593	5880	4019
594	5944	4046
595	6050	4101
596	6107	4122
597	6249	4200
598	6250	4184
599	6271	4181
600	6343	4211
601	6412	4239
602	6453	4248
603	6537	4285
604	6583	4298
605	6716	4366
606	6718	4349
607	6771	4366
608	6824	4381
609	6887	4403
610	6890	4387
611	6946	4403
612	7030	4438
613	7127	4480
614	7184	4497
615	7245	4516
616	7315	4540
617	7370	4555
618	7423	4569
619	7425	4550
620	7498	4576
621	7545	4585
622	7630	4617
623	7683	4629
624	7765	4659
625	7817	4670
626	7945	4726
627	7991	4734
628	8021	4731
629	8051	4728
630	8183	4785
631	8223	4788
632	8241	4778
633	8304	4794
634	8333	4789
635	8428	4824
636	8430	4804
637	8492	4818
638	8536	4822
639	8627	4852
640	8708	4877
641	8738	4872
642	8783	4876
643	8871	4904
644	8897	4897
645	8972	4916
646	8992	4906
647	8994	4885
648	9095	4919
649	9097	4898
650	9098	4877
651	9233	4928
652	9235	4907
653	9297	4918
654	9343	4921
655	9346	4901
656	9347	4880
657	9349	4859
658	9351	4839
659	9398	4841
660	9429	4836
661	9431	4815
662	9484	4820
663	9487	4800
664	9535	4803
665	9614	4821
666	9711	4848
667	9783	4862
668	9784	4841
669	9786	4820
670	9848	4828
671	9850	4807
672	9899	4810
673	9951	4813
674	9952	4792
675	9954	4771
676	10004	4773
677	10064	4779
678	10065	4758
679	10140	4771
680	10202	4779
681	10204	4757
682	10206	4737
683	10208	4716
684	10286	4730
685	10290	4710
686	10395	4736
687	10444	4736
688	10510	4744
689	10541	4735
690	10542	4714
691	10620	4726
692	10646	4716
693	10718	4726
694	10720	4704
695	10841	4735
696	10900	4738
697	10901	4716
698	10904	4695
699	10972	4702
700	10973	4680
701	11037	4685
702	11093	4686
703	11150	4688
704	11196	4685
705	11258	4688
706	11260	4666
707	11262	4644
708	11264	4623
709	11266	4601
710	11317	4600
711	11361	4595
712	11363	4574
713	11365	4552
714	11367	4531
715	11415	4527
716	11495	4537
717	11624	4565
718	11695	4570
719	11735	4563
720	11736	4541
721	11738	4519
722	11739	4497
723	11741	4476
724	11800	4476
725	11802	4454
726	11803	4432
727	11806	4411
728	11850	4405
729	11906	4403
730	11959	4400
731	12019	4400
732	12020	4378
733	12074	4375
734	12123	4370
735	12183	4370
736	12184	4348
737	12186	4326
738	12216	4314
739	12289	4317
740	12291	4296
741	12292	4274
742	12294	4252
743	12370	4256
744	12415	4249
745	12480	4249
746	12579	4260
747	12607	4247
748	12608	4225
749	12772	4257
750	12851	4261
751	12918	4260
752	12990	4261
753	13077	4266
754	13079	4244
755	13137	4240
756	13252	4254
757	13319	4252
758	13380	4248
759	13497	4262
760	13564	4259
761	13565	4236
762	13594	4222
763	13638	4213
764	13755	4225
765	13756	4202
766	13817	4197
767	13880	4193
768	13942	4188
769	14015	4186
770	14067	4178
771	14115	4168
772	14146	4154
773	14234	4156
774	14278	4145
775	14388	4153
776	14390	4129
777	14453	4124
778	14470	4105
779	14530	4098
780	14532	4074
781	14596	4069
782	14669	4065
783	14670	4041
784	14672	4018
785	14674	3995
786	14675	3972
787	14712	3958
788	14800	3958
789	14823	3940
790	14838	3920
791	14888	3910
792	14954	3903
793	14955	3880
794	15009	3870
795	15010	3846
796	15067	3837
797	15151	3835
798	15153	3812
799	15216	3804
800	15248	3788
801	15261	3767
802	15277	3748
803	15299	3729
804	15316	3710
805	15335	3691
806	15353	3672
807	15355	3648
808	15357	3625
809	15387	3609
810	15407	3590
811	15409	3567
812	15411	3544
813	15456	3531
814	15507	3520
815	15584	3514
816	15621	3498
817	15656	3483
818	15692	3468
819	15697	3445
820	15746	3433
821	15747	3410
822	15803	3398
823	15805	3375
824	15911	3375
825	15927	3355
826	15930	3332
827	15979	3319
828	16037	3308
829	16039	3285
830	16132	3280
831	16134	3257
832	16177	3243
833	16199	3224
834	16214	3203
835	16293	3196
836	16341	3182
837	16343	3159
838	16412	3149
839	16414	3126
840	16473	3114
841	16529	3101
842	16531	3078
843	16603	3068
844	16604	3045
845	16686	3037
846	16745	3024
847	16811	3013
848	16813	2990
849	16814	2967
850	16875	2954
851	17014	2955
852	17066	2941
853	17125	2927
854	17187	2914
855	17189	2891
856	17194	2869
857	17196	2845
858	17240	2829
859	17249	2807
860	17250	2784
861	17293	2768
862	17295	2745
863	17297	2722
864	17483	2728
865	17485	2705
866	17543	2691
867	17633	2681
868	17687	2666
869	17756	2653
870	17834	2641
871	17836	2618
872	17892	2602
873	17893	2579
874	17910	2558
875	17913	2535
876	17974	2520
877	18068	2510
878	18159	2499
879	18160	2476
880	18221	2461
881	18278	2445
882	18358	2432
883	18361	2409
884	18362	2386
885	18374	2364
886	18413	2345
887	18415	2322
888	18417	2299
889	18420	2276
890	18429	2254
891	18492	2239
892	18546	2222
893	18548	2199
894	18579	2179
895	18612	2160
896	18663	2143
897	18698	2123
898	18700	2100
899	18767	2085
900	18825	2068
901	18826	2045
902	18828	2022
903	18915	2008
904	18973	1991
905	18974	1968
906	19005	1948
907	19040	1929
908	19045	1906
909	19088	1887
910	19134	1869
911	19161	1848
912	19245	1833
913	19274	1813
914	19312	1794
915	19314	1771
916	19315	1748
917	19317	1725
918	19319	1702
919	19320	1680
920	19365	1661
921	19418	1642
922	19420	1620
923	19516	1605
924	19581	1587
925	19616	1567
926	19640	1546
927	19641	1523
928	19675	1503
929	19755	1486
930	19848	1471
931	19897	1451
932	19899	1428
933	19952	1409
934	19959	1387
935	20044	1370
936	20079	1350
937	20118	1329
938	20121	1307
939	20168	1287
940	20170	1264
941	20244	1246
942	20312	1227
943	20400	1210
944	20402	1187
945	20484	1169
946	20551	1150
947	20553	1127
948	20554	1104
949	20556	1081
950	20628	1062
951	20693	1043
952	20694	1020
953	20737	999
954	20791	979
955	20792	956
956	20873	937
957	20948	918
958	21051	900
959	21079	878
960	21081	855
961	21149	835
962	21201	814
963	21257	793
964	21308	772
965	21363	751
966	21444	731
967	21446	708
968	21537	689
969	21627	668
970	21710	648
971	21785	627
972	21875	607
973	21877	584
974	21943	562
975	22004	541
976	22006	518
977	22065	496
978	22068	473
979	22125	451
980	22186	429
981	22220	407
982	22222	384
983	22265	362
984	22343	340
985	22345	317
986	22409	295
987	22411	272
988	22466	249
989	22545	227
990	22547	204
991	22572	182
992	22643	159
993	22708	137
994	22710	114
995	22763	91
996	22818	68
997	22819	45
998	22821	22
999	22823	0
